,jop_title,company_name,city,job_type
323,Architectural Design Manager, Guardian Industries , Cairo,Full Time
324,Senior specialist, Graphic Designer,,Internship
325,Senior Design Engineer, AVI,SPL Middle East - Dubai,Full Time
326,Senior Hair Stylist - Bahrain, Domo Ventures W.L.L. , Riyadh,Freelance / Project
327,Creative Packaging Designer, Pupilar UAE | Future of Hiring , Dubai,Internship
328,Interior Design Architect, AtkinsRéalis , Riyadh,Part Time
329,Motion Graphic Designer, XM , Cairo,Internship
330,Senior Hair Stylist -  Bahrain, Domo Ventures , Riyadh,Freelance / Project
331,Senior Hair Stylist - Bahrain, Domo Ventures , Riyadh,Part Time
332,Sr. Digital Director - Global Media Agency, Right Calibre Consulting , Dubai,Part Time
333,Social Media Designer, APCO Worldwide , Dubai,Freelance / Project
334,Senior Hair Stylist - Location: Bahrain, Domo Ventures , Kuwait City,Freelance / Project
335,3D Visualizer, Archcorp Architectural Engineering , Dubai,Part Time
336,Graphic Designer, Workforce Development Solutions , Cairo,Full Time
337,Senior Director, Legal,,Freelance / Project
338,Interior Designer, Al Tayer Insignia , Dubai,Full Time
339,MEP Supervisor 3 (Power), Air Products , Tabuk,Internship
340,Electrical Supervisor 3 (Power), Air Products , Tabuk,Internship
341,Marketing Director (Saudi - PIF RE Portfolio Entity), Michael Page , Riyadh,Part Time
342,3D Product Designer, Homzmart , Cairo,Part Time
343,Quran Printing expert operators, Reliance Human Resources Consultancy , Dubai,Part Time
344,Motion Graphic Supervisor, MBC Group , Dubai,Internship
345,Head of Design (Dubai -Remote), Token Metrics Inc , Dubai,Internship
346,Interior Designer, ABM , Riyadh,Full Time
347,Graphic Designer, jobed.com , Cairo,Freelance / Project
348,UX/UI Specialist, Dicetek LLC , Dubai,Full Time
349,Theater Senior Logistician (Multiple Available – OCONUS), Bravura Information Technology Systems,,Full Time
350,Graphic designer,,,Internship
351,Video Editor, WalaPlus , Riyadh,Internship
352,Senior videographer, A2Z Media , MENA - Doha,Full Time
353,Director of Music, The Arts Club Dubai , Dubai,Full Time
354,Easy Work From Home - Data Entry Operators, Alison Phillips , Riyadh,Freelance / Project
355,Work From Home Data Entry Job (Entry Level), Alison Phillips , Dubai,Internship
356,Senior Video Editor, A2Z Media , MENA - Doha,Full Time
357,Editor, VAP Group , Dubai,Internship
358,Video Editor, VAP Group , Dubai,Part Time
359,Product Designer, elGrocer by Smiles , Online Grocery Delivery - Cairo,Full Time
360,Interior Designer, Olayan Saudi Holding Company , Riyadh,Internship
361,Artwork Finalizer, VML , Riyadh,Full Time
362,UX Designer & Graphic Designer, NamaaIT , Cairo,Freelance / Project
363,IT Director, DIMENSIONS HOSPITALITY , Makkah,Full Time
364,Graduate Urban Design, WSP in the Middle East , Riyadh,Full Time
365,Associate Creative Director Experience Design - Oman based, Publicis Sapient , Dubai,Part Time
366,Account Director, Social Media,,Internship
367,Senior Director - Utilities Operations and Maintenance, Michael Page , Dubai,Internship
368,Senior Strategic Designer, Bain & Company , Dubai,Part Time
369,Senior UI/UX Designer, StellaStays Inc , Cairo,Freelance / Project
370,Graphic Designer, Nathan & Nathan , Dubai,Internship
371,Graphic Designer, Albostany for real estate , Cairo,Internship
372,Senior Motion Graphics & Video Editor, Albostany for real estate , Cairo,Part Time
373,UX Designer, Dicetek LLC , Dubai,Part Time
374,Designer, myGwork , Cairo,Internship
375,CAD Designer Lead, Brunel , Doha,Part Time
376,Senior Director - Utilities Operations and Maintenance, Michael Page , Riyadh,Freelance / Project
377,Interior Designer, H. M. Al Rugaib & Sons Trading Co. , شركة حمد محمد الرقيب و أولاده التجارية - Riyadh,Full Time
378,Senior Audio Visual Technician, Expo City Dubai , Dubai,Full Time
379,Design Specialist, NEOM , Riyadh,Internship
380,Graphic Designer, Financial Gym , Cairo,Freelance / Project
381,Art Director, webook.com | We're All About Fun , Riyadh,Part Time
382,Senior UI/UX Designer, Nawy Company , Cairo,Full Time
383,Freelance Senior Branding Designer, M&C Saatchi Group , Dubai,Part Time
384,Senior Design Specialist, AIM World Services , Kuwait City,Full Time
385,Graphic Designer, AtkinsRéalis , Riyadh,Part Time
386,Producer, TAIT , Dubai,Internship
387,Graphic Designer- Intern, dentsu , Riyadh,Full Time
388,Senior Design Engineer, Hill International (Middle East) Limited , Riyadh,Part Time
389,Department Manager - Project Controls (E1), Hill International (Middle East) Limited , Riyadh,Full Time
390,Junior Helpdesk Coordinator, ITP Media Group , Riyadh,Internship
391,Director of Marketing & Communications, WSP in the Middle East , Dubai,Internship
392,E-Learning Instructional Design Specialist, Qatar Airways , Doha,Internship
393,Creative Director, AKQA , Riyadh,Full Time
394,User Experience Designer, TheTalentPoint | Jobs in UAE & Middleeast , Dubai,Full Time
395,Temp Graphic Designer, dmg events , Dubai,Full Time
396,Senior Graphic Designer, TIS (Tech for Integrated Services) by EXA , Cairo,Part Time
397,Senior UI/UX Designer, Abu Dhabi Islamic Bank , Dubai,Full Time
398,Multimedia Manager, Bayut.com , Dubai,Part Time
399,Senior Graphic Designer, Klivvr , Cairo,Internship
400,Senior Product Designer, Klivvr , Cairo,Full Time
401,Senior Design Manager - Water Park, WSP in the Middle East , Riyadh,Part Time
402,Product Designer, Klivvr , Cairo,Freelance / Project
403,Motion Designer, Klivvr , Cairo,Internship
404,Graphic User Interface Designer, TheTalentPoint | Jobs in UAE & Middleeast , Dubai,Internship
405,Mid Senior Exhibitions & Events Designer, Electra Exhibitions LLC , Dubai,Part Time
406,Senior Graphic Designer, Prezlab , Dubai,Internship
407,Media Director, Wavemaker MENA , Dubai,Freelance / Project
408,Senior Graphic Designer, Blackstone eIT , Cairo,Freelance / Project
409,BIM Coordinator (Buildings), Parsons Corporation , Riyadh,Full Time
410,BIM Coordinator, DAR ENGINEERING , Cairo,Full Time
411,Senior Interior designer, Homzmart , Cairo,Part Time
412,Senior Environment Health & Safety Advisor, SGS Société Générale de Surveillance SA , Cairo,Full Time
413,Media Director, Business Science , Dubai,Part Time
414,Senior Design Manager - MEP, Jones Lang LaSalle IP,,Freelance / Project
415,Creative Producer, Project Growth , Cairo,Freelance / Project
416,Graphic Designer, Project Growth , Cairo,Part Time
417,Senior Design Engineer, Honeywell , Cairo,Part Time
418,Stylist, Chloé , Dubai,Freelance / Project
419,Urban Designer (Saudi National), Parsons Corporation , Al Jawf,Freelance / Project
420,Design Architect, Skidmore,,Internship
421,IT Director, GatedTalent , Connecting Top Executive Search Firms And Executives - Dubai,Internship
422,Landscape Architect, AtkinsRéalis , Cairo,Internship
423,Senior Product Designer, Qoyod , قيود - Cairo,Freelance / Project
424,Motion Designer, BFL Group , Dubai,Internship
425,CNC Operator: (Oil and Gas): Dammam, NOV , Riyadh,Freelance / Project
426,Instructional Designer, MatchaTalent , Riyadh,Full Time
427,Digital Apps Director, Salam , Riyadh,Internship
428,Graphic Designer (6 month contract), Acorn Strategy , Dubai,Internship
429,IT Director, Michael Page , Riyadh,Internship
430,UX/UI Designer, Marn , Riyadh,Part Time
431,Sr. Designer, Brunel , Doha,Internship
432,Technical Design Director, Parsons Corporation , Riyadh,Part Time
433,Motion Graphic Designer, Steer Studios , Riyadh,Internship
434,Multimedia Designer, Hill & Knowlton , Dubai,Internship
435,Design & Digital Products Intern, Accenture Middle East , Dubai,Internship
436,User Experience Designer, MMI , Maritime and Mercantile International - Dubai,Freelance / Project
437,Remote Work-From-Home Positions (Easy Data Entry Jobs), Kleurenbeeld , Riyadh,Internship
438,Ad Designer, Project Growth , Cairo,Internship
439,Graphic Designer, TACT , Riyadh,Internship
440,UX Researcher & Arabic Designer, Nomo Fintech , Dubai,Part Time
441,Director- Loan Agency, First Abu Dhabi Bank (FAB) , Dubai,Freelance / Project
442,Media Director, EssenceMediacom MENA , Dubai,Full Time
443,Digital Experience & Ancillary, SAUDI AIRLINES , Makkah,Freelance / Project
444,Lead Product Designer, Mentalyc Inc. , Cairo,Part Time
445,Freelance Graphic Designer, Truelancer.com , Cairo,Freelance / Project
446,Creative Director, trivers , Riyadh,Part Time
447,Senior Art Director, TACT , Riyadh,Part Time
448,Art & Design Teacher, Taaleem , Dubai,Internship
449,Senior Graphic Designer, Seam Labs , Cairo,Part Time
450,Graphic Designer, Tamimi Group , Riyadh,Full Time
451,IP Pricing Specialist, DHL Global Forwarding , Riyadh,Part Time
452,Graphic Designer, Park Hyatt , Doha,Freelance / Project
453,Design Director - Hospitality / Mixed-use, Qiddiya | القدية , Riyadh,Internship
454,Media & Public Relations Representative, Saudi Petroleum Services Polytechnic , Dammam,Freelance / Project
455,Senior Creative Designer - TikTok LIVE (MENA), TikTok , Dubai,Internship
456,Graphics Designer, Wego Pte Ltd , Cairo,Full Time
457,Senior Marketing Manager Robotics, Smith+Nephew , Dubai,Part Time
458,Stand Design Manager, Informa Connect of Informa PLC , Riyadh,Freelance / Project
459,Stand Design Manager, Informa Connect Limited , Riyadh,Part Time
460,Design House Admin, Miracle,On - New Cairo,Part Time
461,Executive Assistant, Oulabitex  , 10th of Ramadan City,Part Time
462,Graphic Designer, Confidential , Ameria,Freelance / Project
463,Graphic Designer, Deefekrah , New Cairo,Freelance / Project
464,Senior graphic designer, Confidential , Rehab City,Internship
465,Junior Marketing Specialist, KB Architects  , Maadi,Freelance / Project
466,Creative Director, Confidential , New Cairo,Freelance / Project
467,Creative Director, ATRIC Developments , Heliopolis,Part Time
468,UI UX Designer, Confidential , Heliopolis,Part Time
469,Graphic Designer, In House , Mohandessin,Full Time
470,Senior Graphic Designer, TRAVCO GROUP , Sheikh Zayed,Full Time
471,Graphic Designer, Estafsar , Sheikh Zayed,Full Time
472,Senior UX Designer, LINK Development , Maadi,Full Time
473,Interior Designer, Nihal Zaki Interiors , 6th of October,Freelance / Project
474,accountant, Abnaa,Ammam - Maadi,Full Time
475,Senior Graphic Designer, Digital Plus , Cairo,Full Time
476,UI/UX Design, nichepharma , Sheikh Zayed,Freelance / Project
477,Graphic Designer - Content Creator, SCAS , Maadi,Part Time
478,Patternist ( Fashion Retail ), Al,Nasser  - 6th of October,Part Time
479,UI UX Designer, Allianz , New Cairo,Part Time
480,UI UX Designer, Confidential , Dokki,Internship
481,Marketing Associate, CRIF EGYPT , Heliopolis,Internship
482,English Translator / Content Editor, Confidential , Sheraton,Part Time
483,Art Teacher, Confidential , Alsadat City,Internship
484,Fashion Designer, Mimo for women clothes , New Cairo,Internship
485,Senior Ui/UX Designer, Rescounts , Cairo,Internship
486,Graphic Designer for Marketing and Advertising agency, Marketing and advertising agency , Sheraton,Part Time
487,Graphic Designer, Saudi,firmness - Katameya,Part Time
488,English/Arabic Content Creator, Confidential , Sheraton,Full Time
489,Sr.Graphic Designer, Confidential , Sheraton,Part Time
490,Junior Interior Designer, Amer Vision Group , Sheraton,Freelance / Project
491,UI UX Designer, Wakeb Data , Mohandessin,Part Time
492,Content Creator, Gorgov , New Cairo,Freelance / Project
493,Marketing Specialist, Egypt Teda , Ain Sokhna,Part Time
494,UI UX Designer, Bright Creations , Smart Village,Part Time
495,Graphic Designer, Promech Engineering , Maadi,Internship
496,Odoo Implementation Manager, OdooTec , New Cairo,Full Time
497,UI UX Designer, Confidential , Heliopolis,Freelance / Project
498,Senior Cost Control Engineer - Site Based, DME Holding , New Cairo,Internship
499,Video & Photographer, Confidential , New Cairo,Freelance / Project
500,Marketing Specialist, LinkMisr , Heliopolis,Full Time
501,Content Creator / Writer, Business integration trading company , Nasr City,Freelance / Project
502,Content Creator, NOK for Human Capital Solutions , Maadi,Full Time
503,Web Designer, Impact Technology  , Cairo,Internship
504,Junior Architect / interior designer, Ahmed Osman,Archi-Arts - New Cairo,Full Time
505,Graphic Designer, Duravit AG , Sheraton,Freelance / Project
506,Digital Transformation Section Head, Confidential , New Cairo,Full Time
507,Sr. Architecture Design Engineer (Lighting), Elsewedy industries , New Cairo,Freelance / Project
508,Video Content Creator, Ashtar Tech    , Maadi,Internship
509,FF&E Engineer, Talaat Moustafa Group , Dokki,Part Time
510,Content creator & publisher, Road9 Media , Maadi,Full Time
511,Senior Operations / Admission Specialist, Egyptian Cultural Center , Nasr City,Internship
512,Interior Design Engineer, Solikgroup  , Sidi Gaber,Internship
513,Senior Analyst/Investment Banking, Intercap Capital  , Dokki,Full Time
514,Content Creator, Engosoft , Nasr City,Full Time
515,Graphic Design and Video Internship, Bed Scrunchie , New York City,Full Time
516,UI/UX Developer, Estafsar , Downtown,Full Time
517,Content Creator, Terra Tint , Giza,Full Time
518,SAP FICO Consultant, Mediterraneo Trading , New Cairo,Internship
519,Kids Fashion Designer, Confidential , Rehab City,Internship
520,junior Projects Coordinator, Alicoegypt , Heliopolis,Freelance / Project
521,Odoo Functional Consultant - Odoo Implementer, ERP,Bank - Sidi Gaber,Freelance / Project
522,Senior Content creator, Etoile , Cairo,Freelance / Project
523,UI UX Designer, Nano Shield , Maadi,Freelance / Project
524,SEO Content Creator (Remote Work), Confidential , Cairo,Internship
525,Senior Odoo Functional Consultant, OdooTec , New Cairo,Part Time
526,Video Editor, EL KHETA , San Stefano,Freelance / Project
527,Creative Graphic Designer (m/f/d) Wanted for Dynamic Tech Startup, NClip , Koeln,Part Time
528,English / Arabic content creator, Nile University , Sheikh Zayed,Part Time
529,Program Coordinator - Ismailia, ITIDA , Ismailia,Full Time
530,Scheduling Coordinator, Hyundai Rotem , Luxor,Part Time
531,Front-end or Back-end Developer, RCG consulting group , Heliopolis,Internship
532,Scaffoldings & Framwork Team Leader, Confidential , New Cairo,Internship
533,Corporate Relations Executive, Wisely Insure , Nasr City,Freelance / Project
534,Content Creator and Social Media Manager, Lacasa Company , Alibrahimiyyah,Part Time
535,Content Creator, Confidential , Dokki,Freelance / Project
536,Senior Functional Consultant (Odoo), Outservingplus , Cairo,Freelance / Project
537,Implementation Project Manager (Odoo), Outservingplus , New Cairo,Part Time
538,English Proofreader, Selah ElTelmeez For Publishing & printing , Obour City,Full Time
539,Interior Designer, Homy Funrniture , Cairo,Part Time
540,EXHIBITION STAND DESIGNER, Takeleap DMCC , Riyadh,Part Time
541,Graphic Designer, emperium , Cairo,Part Time
542,UI/UX Designer, Egypt Best Properties , New Cairo,Freelance / Project
543,ID Manager, Hill International (Middle East) Limited , Dubai,Full Time
544,Digital Merchandiser, JobIn , Dubai,Internship
545,Taste & Wellbeing Creative Marketing Associate for the Middle East region, Givaudan Suisse SA (Dubai Branch) , Dubai,Freelance / Project
546,LAND SURVEYOR - ROADS, Duncan & Ross Consulting , Dubai,Full Time
547,Junior Data Analyst, Skill Farm , Dubai,Internship
548,Accounting Supervisor, Titan Cement Egypt  , Sheraton,Part Time
549,LAND SURVEYOR - BUILDINGS, Duncan & Ross Consulting , Dubai,Full Time
550,Visual Merchandiser, EMNOCA LLC , Dubai,Full Time
551,Consultant - Information & Communication Technology, Frost & Sullivan , Riyadh,Freelance / Project
552,Content Creator - Freelance, Crossworkers,Egypt - Cairo,Part Time
553,Front-End Developer, LikeCard , Cairo,Part Time
554,Business Development Specialist (AI Tools), Hire My Tech , Dubai,Internship
555,Junior Business Presentation Designer, McKinsey & Company , Riyadh,Internship
556,Communications Officer, Rekrut by Talent 360 , Cairo,Freelance / Project
557,Production Planning Officer, Emirates , Dubai,Internship
558,Senior Architect, Archcorp Architectural Engineering , Dubai,Freelance / Project
559,Digital Marketing Lead, SupportFinity™ , Cairo,Freelance / Project
560,Freelance Creative Professionals, jobed.com , Cairo,Freelance / Project
561,Content Creator & Graphics Designer, 360 Company Ltd. , Riyadh,Part Time
562,Marketing Specialist, Rekrut by Talent 360 , Cairo,Freelance / Project
563,Senior Architect UAE, archcorp , Dubai,Full Time
564,Senior Marketing Executive, COREcruitment , Dubai,Internship
565,Presentation and Support Specialist, Lifera , Riyadh,Internship
566,Content Creator, Publicis Worldwide , Dubai,Freelance / Project
567,IT Sales Professional in Egypt, KR Group Corporation , Cairo,Part Time
568,Architect (Authority / Project Coordinator), archcorp , Dubai,Freelance / Project
569,Internal Communication Senior Specialist, Integrant,,Full Time
570,Oracle Commerce Cloud Software Engineer, Domino Printing , Dubai,Part Time
571,Marketing Coordinator, Swissôtel Al Maqam Makkah , Dubai,Internship
572,Presales Manager, Keyloop , Dubai,Full Time
573,Program Execution Planner, General Motors Africa & Middle East , Cairo,Full Time
574,Part-Time HR Instructor-CPE, American University of Kuwait (AUK) , Doha,Internship
575,Product Management Senior Analyst, Accenture Middle East , Dubai,Internship
576,Traffic Coordinator, VML , Cairo,Full Time
577,Housekeeping Manager, Fairmont Hotels & Resorts , Dubai,Full Time
578,Aircraft Technician - Structures Workshop, Emirates , Dubai,Part Time
579,Application Engineer - Calibre - EDA - (Cairo, Egypt),,Full Time
580,Social Media Manager, Banyan Tree , Dubai,Part Time
581,Aircraft Components Technician in Structures Workshop (Plating), Emirates , Dubai,Freelance / Project
582,Healthcare Nutrition Specialist (HNS) -Egypt, DANONE , Cairo,Freelance / Project
583,Transformation Sr. Lead- Power Platform_VOIS, _VOIS , Cairo,Internship
584,Editor, Time Out Dubai,,Internship
585,Marketing Executive, Bukhash Brothers , Dubai,Internship
586,Social Media Manager, Ennismore , Dubai,Full Time
587,Marketing Coordinator - Middle East, RELX Group plc , Dubai,Internship
588,Information Management Associate (SC 6), World Food Program , Other locations - Cairo,Internship
589,Engineer, Inspection,,Part Time
590,Content Creator & Editor, Bukhash Brothers , Dubai,Full Time
591,Associate Dean, College of Business,,Freelance / Project
592,00002300 - Associate Dean, College of Business Management,,Part Time
593,00002300 - Associate Dean, College of Business Management,,Full Time
594,Marketing Coordinator Utd.Arab Emir. Dubai, Doka GmbH , Dubai,Full Time
595,Business Transformation Lead- Power Platform _VOIS, _VOIS , Cairo,Freelance / Project
596,Freelance Mid weight Designer, M&C Saatchi Group , Dubai,Full Time
597,Assistant Professor - Chemistry, University of Doha for Science & Technology , Doha,Freelance / Project
598,F&B Marketing and Communications Assistant Manager, The Lana,,Internship
599,Bartender, FIVE Hotels and Resorts , Dubai,Internship
600,Senior ReactJS Developer -FIVE Holdings, FIVE Hotels and Resorts , Dubai,Internship
601,Concierge Agent, FIVE Hotels & Resorts , Dubai,Internship
602,Concierge Agent, FIVE Hotels and Resorts , Dubai,Internship
603,HR Executive, FIVE Hotels and Resorts , Dubai,Internship
604,In Room Dining (Order Taker) - Russian Speaker, FIVE Hotels and Resorts , Dubai,Internship
605,Restaurant Reservations Agent, FIVE Hotels and Resorts , Dubai,Internship
606,Kids Club Manager, FIVE Hotels and Resorts , Dubai,Part Time
607,Receptionist/Secretary - Development, FIVE Hotels and Resorts , Dubai,Part Time
608,Dean, College of Business,,Freelance / Project
609,Server (In Room Dining) - FIVE Jumeirah Village, FIVE Hotels & Resorts , Dubai,Part Time
610,Server (In Room Dining) - FIVE Jumeirah Village, FIVE Hotels and Resorts , Dubai,Freelance / Project
611,Waiter/Waitress - FIVE Jumeirah Village, FIVE Hotels and Resorts , Dubai,Freelance / Project
612,Sports Coach, Englishcollege , Dubai,Internship
613,Cluster Marketing Manager - North Africa & Turkey, SIG Group , Cairo,Internship
614,Vice President, Applied Research and Graduate Studies,,Part Time
615,Vice President, Applied Research and Graduate Studies,,Freelance / Project
616,Floor Supervisor, Playa Pacha Beach , FIVE LUXE JBR,Freelance / Project
617,Hostess, Playa Pacha Beach , FIVE LUXE JBR,Full Time
618,Revenue and Distribution Manager, FIVE Hotels and Resorts , Dubai,Freelance / Project
619,Waiter, Beach , FIVE LUXE JBR,Freelance / Project
620,Room Reservations Agent, FIVE Hotels and Resorts , Dubai,Internship
621,Waiter/Waitress - FIVE Palm Jumeirah, FIVE Hotels and Resorts , Dubai,Internship
622,Director of Operations - FIVE LUXE JBR, FIVE Hotels and Resorts , Dubai,Freelance / Project
623,Head of English, International Schools Partnership Limited , Dubai,Internship
624,Stewarding Storekeeper - FIVE LUXE JBR, FIVE Hotels and Resorts , Dubai,Freelance / Project
625,Senior Internal Auditor - Aldar Education, Aldar Education , Dubai,Internship
626,Sales Agent – Restaurant Reservations, FIVE Hotels and Resorts , Dubai,Freelance / Project
627,Stewarding Team Leader - FIVE LUXE JBR, FIVE Hotels and Resorts , Dubai,Part Time
628,Assistant Director of Revenue, FIVE Hotels and Resorts , Dubai,Freelance / Project
629,IT Specialist, FIVE Hotels and Resorts , Dubai,Freelance / Project
630,Assistant Beach Club Manager, Playa Pacha Beach , FIVE LUXE JBR,Part Time
631,Residence Supervisor - FIVE Palm Jumeirah, FIVE Hotels and Resorts , Dubai,Freelance / Project
632,Junior Sous Chef - Bakery, FIVE Hotels and Resorts , Dubai,Full Time
633,In Room Dining - Order Taker (Arabic Speaker), FIVE Hotels and Resorts , Dubai,Freelance / Project
634,Digital Marketing Manager - Nightlife Experience, FIVE Hotels and Resorts , Dubai,Internship
635,Head Hostess, FIVE Hotels and Resorts , Dubai,Part Time
636,In Room Dining - Order Taker (Arabic Speaker), FIVE Hotels & Resorts , Dubai,Part Time
637,Head Waiter/Waitress, FIVE Hotels and Resorts , Dubai,Full Time
638,Junior Sous Chef - Mediterranean Cuisine, FIVE Hotels and Resorts , Dubai,Full Time
639,IT Specialist - FIVE LUXE JBR, FIVE Hotels and Resorts , Dubai,Freelance / Project
